2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:27 -04:00: > mission-control@0.1.0 dev
2026-03-09 14:08:27 -04:00: > PORT=3333 next dev
2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:28 -04:00: ▲ Next.js 16.1.6 (Turbopack)
2026-03-09 14:08:28 -04:00: - Local:         http://localhost:3333
2026-03-09 14:08:28 -04:00: - Network:       http://192.168.5.41:3333
2026-03-09 14:08:28 -04:00: - Environments: .env
2026-03-09 14:08:28 -04:00: 
2026-03-09 14:08:28 -04:00: ✓ Starting...
2026-03-09 14:08:28 -04:00: ✓ Ready in 603ms
2026-03-09 14:12:37 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 17ms (compile: 3ms, render: 14ms)
2026-03-09 14:12:38 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 924µs, render: 6ms)
2026-03-09 14:12:39 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:12:44 -04:00:  GET /api/costs/live 200 in 8ms (compile: 3ms, render: 5ms)
2026-03-09 14:12:47 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 10ms (compile: 3ms, render: 7ms)
2026-03-09 14:12:47 -04:00:  GET /api/agents/status 200 in 11ms (compile: 7ms, render: 4ms)
2026-03-09 14:12:47 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 761µs, render: 5ms)
2026-03-09 14:12:49 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1196µs, render: 3ms)
2026-03-09 14:12:54 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:12:57 -04:00:  GET /api/agents/status 200 in 11ms (compile: 3ms, render: 8ms)
2026-03-09 14:12:57 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 7ms (compile: 948µs, render: 6ms)
2026-03-09 14:12:57 -04:00:  GET /api/agents/status 200 in 3ms (compile: 700µs, render: 2ms)
2026-03-09 14:12:58 -04:00:  GET /api/activity/stats 200 in 4ms (compile: 676µs, render: 4ms)
2026-03-09 14:12:59 -04:00:  GET /api/costs/live 200 in 7ms (compile: 3ms, render: 5ms)
2026-03-09 14:13:04 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:13:07 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 11ms (compile: 2ms, render: 9ms)
2026-03-09 14:13:07 -04:00:  GET /api/agents/status 200 in 13ms (compile: 7ms, render: 6ms)
2026-03-09 14:13:08 -04:00:  GET /api/activity/stats 200 in 4ms (compile: 699µs, render: 4ms)
2026-03-09 14:13:09 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:13:14 -04:00:  GET /api/costs/live 200 in 9ms (compile: 2ms, render: 6ms)
2026-03-09 14:13:17 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 11ms (compile: 2ms, render: 9ms)
2026-03-09 14:13:17 -04:00:  GET /api/agents/status 200 in 12ms (compile: 7ms, render: 5ms)
2026-03-09 14:13:18 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 1031µs, render: 5ms)
2026-03-09 14:13:19 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:13:24 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:13:27 -04:00:  GET /api/agents/status 200 in 10ms (compile: 4ms, render: 6ms)
